150 13562.524314224767
200 11480.71885588189
250 11480.71885588189
300 5322.901063874246
350 5322.901063874246
400 5277.910746753837
450 3592.849205120768
500 3592.849205120768
550 3148.06807342593
600 2469.099230589868
650 1939.5201379197606
700 1939.5201379197606
750 1939.5201379197606
800 1127.663527322249
850 1007.0412835147683
900 421.69004742552954
950 421.69004742552954
1000 421.69004742552954
1050 407.132672689989
1100 363.66181340462134
1150 307.7492713028223
1200 205.18504223899643
1250 199.42524773682376
1300 194.10068111873295
1350 194.10068111873295
1400 168.39292124752643
1450 159.29912521248662
1500 134.13461771117733
1550 134.13461771117733
1600 89.01763759730234
1650 89.01763759730234
1700 79.46883481977756
1750 79.46883481977756
1800 76.73167579261052
1850 73.62134117412559
1900 68.59899111444123
1950 66.5569986507739
2000 66.55054330931667
2050 64.2695960568829
2100 64.2695960568829
