51 30131.273902723304
101 30131.273902723304
151 19381.299353571245
201 14488.977327319386
251 14488.977327319386
301 14488.977327319386
351 14488.977327319386
401 14488.977327319386
451 14488.977327319386
501 14488.977327319386
551 14488.977327319386
601 14488.977327319386
651 14488.977327319386
701 14488.977327319386
751 14488.977327319386
801 13280.994716941546
851 13280.994716941546
901 13280.994716941546
951 13280.994716941546
1001 13280.994716941546
1051 13280.994716941546
1101 13280.994716941546
1151 13280.994716941546
1201 13280.994716941546
1251 13280.994716941546
1301 13280.994716941546
1351 13280.994716941546
1401 13280.994716941546
1451 12167.588944728104
1501 12167.588944728104
1551 12167.588944728104
1601 12167.588944728104
1651 12167.588944728104
1701 12167.588944728104
1751 12167.588944728104
1801 12167.588944728104
1851 12167.588944728104
1901 12167.588944728104
1951 12167.588944728104
2001 12167.588944728104
