51 34146.64232661974
101 34146.64232661974
151 23790.06854347454
201 23790.06854347454
251 23790.06854347454
301 23790.06854347454
351 23790.06854347454
401 14278.85311622377
451 14278.85311622377
501 14278.85311622377
551 14278.85311622377
601 14278.85311622377
651 14278.85311622377
701 14278.85311622377
751 14278.85311622377
801 14278.85311622377
851 14278.85311622377
901 14278.85311622377
951 14278.85311622377
1001 14278.85311622377
1051 14278.85311622377
1101 14278.85311622377
1151 14278.85311622377
1201 14278.85311622377
1251 14278.85311622377
1301 14278.85311622377
1351 14278.85311622377
1401 14278.85311622377
1451 14278.85311622377
1501 14278.85311622377
1551 14278.85311622377
1601 14278.85311622377
1651 14278.85311622377
1701 14278.85311622377
1751 14278.85311622377
1801 14278.85311622377
1851 14278.85311622377
1901 14278.85311622377
1951 14278.85311622377
2001 14278.85311622377
