51 42262.68803556578
101 20416.515323293457
151 20416.515323293457
201 20416.515323293457
251 20416.515323293457
301 20416.515323293457
351 20416.515323293457
401 20416.515323293457
451 20416.515323293457
501 18278.70249949433
551 18278.70249949433
601 18278.70249949433
651 18278.70249949433
701 18278.70249949433
751 18278.70249949433
801 18278.70249949433
851 18278.70249949433
901 18278.70249949433
951 18278.70249949433
1001 13039.955479997021
1051 13039.955479997021
1101 13039.955479997021
1151 13039.955479997021
1201 13039.955479997021
1251 13039.955479997021
1301 13039.955479997021
1351 13039.955479997021
1401 13039.955479997021
1451 13039.955479997021
1501 13039.955479997021
1551 13039.955479997021
1601 13039.955479997021
1651 13039.955479997021
1701 13039.955479997021
1751 13039.955479997021
1801 13039.955479997021
1851 13039.955479997021
1901 13039.955479997021
1951 13039.955479997021
2001 13039.955479997021
