51 34946.415150120985
101 34946.415150120985
151 33364.47615325906
201 25563.48163515717
251 25563.48163515717
301 25563.48163515717
351 25563.48163515717
401 25563.48163515717
451 25563.48163515717
501 25563.48163515717
551 25563.48163515717
601 16054.257417410907
651 12360.368008748439
701 12360.368008748439
751 12360.368008748439
801 12360.368008748439
851 12360.368008748439
901 12360.368008748439
951 12360.368008748439
1001 12360.368008748439
1051 12360.368008748439
1101 12360.368008748439
1151 12360.368008748439
1201 12360.368008748439
1251 12360.368008748439
1301 12360.368008748439
1351 12360.368008748439
1401 12360.368008748439
1451 12360.368008748439
1501 12360.368008748439
1551 12360.368008748439
1601 12360.368008748439
1651 12360.368008748439
1701 12360.368008748439
1751 12360.368008748439
1801 12360.368008748439
1851 12360.368008748439
1901 12360.368008748439
1951 12360.368008748439
2001 12360.368008748439
