51 35583.38545145026
101 25575.44187057861
151 25575.44187057861
201 25575.44187057861
251 16695.502699779772
301 16695.502699779772
351 16695.502699779772
401 16695.502699779772
451 16695.502699779772
501 16695.502699779772
551 16695.502699779772
601 16695.502699779772
651 4334.973805598517
701 4334.973805598517
751 4334.973805598517
801 4334.973805598517
851 4334.973805598517
901 4334.973805598517
951 4334.973805598517
1001 4334.973805598517
1051 4334.973805598517
1101 4334.973805598517
1151 4334.973805598517
1201 4334.973805598517
1251 4334.973805598517
1301 4334.973805598517
1351 4334.973805598517
1401 4334.973805598517
1451 4334.973805598517
1501 4334.973805598517
1551 4334.973805598517
1601 4334.973805598517
1651 4334.973805598517
1701 4334.973805598517
1751 4334.973805598517
1801 4334.973805598517
1851 4334.973805598517
1901 4334.973805598517
1951 4334.973805598517
2001 4334.973805598517
